college,academic_year,term,course_code,section,course_name,instructor,time,url
University of Puget Sound,2025-26,S,CSCI 161,A-LEC,Introduction to Computer Science,America Chambers,MoWeFr 9:00AM - 9:50AM,
University of Puget Sound,2025-26,S,CSCI 261,AA-LAB,Computer Science II,America Chambers,Th 9:00AM - 10:50AM,
University of Puget Sound,2025-26,S,CSCI 281,C-LEC,Assembly Language and Computer Architecture,David Chiu,MoFr 12:00PM - 1:20PM,
University of Puget Sound,2025-26,S,CSCI 425,CA-LAB,Advanced Topics in Computer Science,David Chiu,Th 2:00PM - 3:50PM,
University of Puget Sound,2025-26,S,CSCI 431,A-LEC,Introduction to Artificial Intelligence,Adam Smith,MoWeFr 11:00AM - 11:50AM,
University of Puget Sound,2025-26,S,CSCI 440,AA-LAB,Capstone in Computer Science,Adam Smith,Tu 11:00AM - 12:50PM,
University of Puget Sound,2025-26,S,CSCI 475,A-LEC,Operating Systems,Baha Alsaify,MoWeFr 11:00AM - 11:50AM,
University of Puget Sound,2026-27,F,CSCI 110,A-LEC,Introduction to Computer Programming,Baha Alsaify,MoWeFr 10:00AM - 10:50AM,
University of Puget Sound,2026-27,F,CSCI 250,AA-LAB,Assembly Language and Computer Architecture,Baha Alsaify,Th 1:00PM - 2:50PM,
University of Puget Sound,2026-27,F,CSCI 252,B-LEC,Network Programming,America Chambers,MoWeFr 9:00AM - 9:50AM,
University of Puget Sound,2026-27,F,CSCI 261,BB-LAB,Computer Science II,America Chambers,Th 9:00AM - 10:50AM,
University of Puget Sound,2026-27,F,CSCI 330,A-LEC,Algorithms and Advanced Data Structures,Baha Alsaify,MoWeFr 11:00AM - 11:50AM,
University of Puget Sound,2026-27,F,CSCI 360,A-LEC,Principles of Database Systems,Baha Alsaify,MoWe 2:00PM - 3:20PM,
University of Puget Sound,2026-27,F,CSCI 498,A-LEC,Capstone Planning Seminar,David Chiu,MoWeFr 11:00AM - 11:50AM,
