college,academic_year,term,course_code,section,course_name,instructor,time,url
University of Richmond,2021-22,F,CMSC 150,01,INTRODUCTN TO COMPUTING W/LAB,Charlesworth,MW 1:30pm-2:45pm (JPSN G23); Th 3:00pm-5:00pm (JPSN G23),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 150,02,INTRODUCTN TO COMPUTING W/LAB,Gao,TTh 9:00am-10:15am (JPSN G30); T 12:00pm-2:00pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 150,03,INTRODUCTN TO COMPUTING W/LAB,Ware,TTh 10:30am-11:45am (JPSN G30); F 10:30am-12:30pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 150,04,INTRODUCTN TO COMPUTING W/LAB,Obiorah,TTh 12:00pm-1:15pm (JPSN G23); Th 4:30pm-6:30pm (JPSN G20),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 221,01,DATA STRUCTURES W/LAB,Jiang,MW 10:30am-11:45am (JPSN G22); Th 12:00pm-2:00pm (JPSN G22),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 221,02,DATA STRUCTURES W/LAB,Ware,TTh 1:30pm-2:45pm (JPSN G23); F 1:30pm-3:30pm (JPSN G23),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 221,03,DATA STRUCTURES W/LAB,Jiang,MW 1:30pm-2:45pm (JPSN G22); Th 3:00pm-5:00pm (JPSN G22),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 222,01,DISCRETE STRUCTURES W/LAB,Gao,MW 3:00pm-4:15pm (JPSN G20); T 3:00pm-3:50pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 222,02,DISCRETE STRUCTURES W/ LAB,Gao,MW 4:30pm-5:45pm (JPSN G20); T 4:30pm-5:20pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 240,01,SOFTWARE SYSTEMS DVLPMNT W/LAB,Szajda,TTh 1:30pm-2:45pm (JPSN 109); Th 4:30pm-5:20pm (JPSN 109),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 301,01,COMPUTER ORGANIZATION W/LAB,Bhakta,MW 10:30am-11:45am (JPSN 120); Th 3:00pm-3:50pm (JPSN G20),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 315,01,ALGORITHMS W/ LAB,Bhakta,MW 12:00pm-1:15pm (JPSN G24); F 12:00pm-12:50pm (JPSN G24),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 323,01,DSGN/IMPLEMNTN PROG LANG W/LAB,Charlesworth,MWF 9:00am-10:15am (JPSN 109),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 325,01,DATABASE SYSTEMS W/ LAB,Prior,Th 6:30pm-9:50am (JPSN G23),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 332,01,COMPUTER NETWORKS W/LAB,Szajda,TTh 10:30am-11:45am (JPSN 109); F 10:30am-11:20am (JPSN 109),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,F,CMSC 395,01,ST: HUMAN-COMPUTER INTERACTION,Obiorah,MW 3:00pm-4:15pm (JPSN G24); F 3:00pm-3:50pm (JPSN G-28),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,S,CMSC 150,01,INTRODUCTN TO COMPUTING W/LAB,Charlesworth,Th 12:00pm-2:00pm (JPSN G23); MW 1:30pm-2:45pm (JPSN G-28),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,S,CMSC 150,02,INTRODUCTN TO COMPUTING W/LAB,Ware,TTh 1:30pm-2:45pm (JPSN G30); F 1:30pm-3:30pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,S,CMSC 150,03,INTRODUCTN TO COMPUTING W/LAB,Gao,MW 4:30pm-5:45pm (JPSN G30); T 4:30pm-6:30pm (JPSN G30),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,S,CMSC 150,04,INTRODUCTN TO COMPUTING W/LAB,Obiorah,MW 3:00pm-4:15pm (JPSN G30); F 3:00pm-5:00pm (JPSN G23),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
University of Richmond,2021-22,S,CMSC 221,01,DATA STRUCTURES W/LAB,Jiang,MW 1:30pm-2:45pm (JPSN G20); Th 4:30pm-6:30pm (JPSN G20),https://richmond.app.box.com/s/76rltos9mgu9pjnte2u669ex0ff24ejq
