college,academic_year,term,course_code,section,course_name,instructor,time,url
Ursinus College,2025-26,Su,CS-382D,A,Summer Internship,"Scoville, N",TBD,
Ursinus College,2026-27,F,CS-170Q,A,Programming,"Faculty, U",M/W/F 10:00 AM - 10:50 AM,
Ursinus College,2026-27,F,CS-173,A,Intro Comp Sci,"Henry, D",M/W/F 9:00 AM - 9:50 AM,
Ursinus College,2026-27,F,CS-173,B,Intro Comp Sci,"Henry, D",M/W/F 10:00 AM - 10:50 AM,
Ursinus College,2026-27,F,CS-174,A,OO Programming,"Henry, D",M/W/F 11:00 AM - 11:50 AM,
Ursinus College,2026-27,F,CS-271,A,Data Structures,"Faculty, U",M/W/F 9:00 AM - 9:50 AM,
Ursinus College,2026-27,F,CS-350,A,Oral Presentatn,"Scoville, N",TBD,
Ursinus College,2026-27,F,CS-357,A,Foundations of AI,"Mongan, W",T/Th 12:00 PM - 1:15 PM,
Ursinus College,2026-27,F,CS-374,A,Prin Prog Lang,"Mongan, W",T/Th 10:00 AM - 11:15 AM,
Ursinus College,2026-27,F,CS-381A,A,Fall Internship,"Faculty, D",TBD,
Ursinus College,2026-27,F,CS-381D,A,Summer Internship,"Faculty, D",TBD,
Ursinus College,2026-27,F,CS-382A,A,Fall Internship,"Faculty, D",TBD,
Ursinus College,2026-27,F,CS-382D,A,Summer Internship,"Mongan, W",TBD,
Ursinus College,2026-27,F,CS-382D,B,Summer Internship,"Sadowski, C",TBD,
