college,academic_year,term,course_code,section,course_name,instructor,time,url
Vassar College,2021-22,F,CMPU-101,01,Computer Science I/Lab,"Gordon, Jonathan",F 0310PM-0510PM; MW 0130PM-0245PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-101,02,Computer Science I/Lab,"Frankl, Phyllis",F 0900AM-1100AM; TR 0900AM-1015AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-101,03,Computer Science I/Lab,"Waterman, Jason",TR 0130PM-0245PM; F 0100PM-0300PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-101,04,Computer Science I/Lab,"Smith, Marc",MW 1030AM-1145AM; F 0900AM-1100AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-101,05,Computer Science I/Lab,"Smith, Marc",F 1100AM-0100PM; MW 1030AM-1145AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-102,01,Computer Science II/Lab,"Lemieszewski, Peter",TR 0435PM-0550PM; F 0310PM-0510PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-102,02,Computer Science II/Lab,"Gommerstadt, Hannah",R 0600PM-0800PM; TR 1030AM-1145AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-145,01,Foundations/Computer Science,"Frankl, Phyllis",F 0100PM-0300PM; TR 1200PM-0115PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-145,02,Foundations/Computer Science,"Lambert, Matthew",F 1100AM-0100PM; MW 0900AM-1015AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-203,01,Computer Science III,"Meireles, Rui",R 1100AM-0100PM; MW 1030AM-1145AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-203,02,Computer Science III,"Meireles, Rui",R 0310PM-0510PM; MW 1030AM-1145AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-240,01,Theory of Computation,"Gordon, Jonathan",TR 0130PM-0245PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-241,01,Analysis of Algorithms,"Lambert, Matthew",MW 0130PM-0245PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-290,01,Community-Engaged Learning,,,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-290,03,Machine Learning in 3D QA,"Hunsberger, Luke",,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-290,04,Robotics Engineering,"Meireles, Rui",,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-298,01,Independent Work,,,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-298,02,Independent Work,,,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-298,03,OCR Data Collection Methods,"Gordon, Jonathan",,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-298,04,Independent Work,"Waterman, Jason",,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-311,01,Database Systems,"Smith, Marc",M 0310PM-0510PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-312,01,Applications of AI,"Hunsberger, Luke",W 0100PM-0300PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-331,01,Compilers,"Gommerstadt, Hannah",MW 1030AM-1145AM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-334,01,Operating Systems,"Waterman, Jason",TR 0310PM-0425PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,F,CMPU-378,01,Graphics,"Ellman, Tom",TR 1200PM-0115PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
Vassar College,2021-22,S,CMPU-101,51,Computer Science I/Lab,"Gordon, Jonathan",MW 0130PM-0245PM; F 0100PM-0300PM,https://aisapps.vassar.edu/cgi-bin/geninfo.cgi
