college,academic_year,term,course_code,section,course_name,instructor,time,url
Wabash College,2021-22,F,CSC-101,01,Intro to Computer Science,"McKinney, Colin",M W F 8:00AM-8:50AM,
Wabash College,2021-22,F,CSC-101,01F,Intro to Computer Science,"McKinney, Colin",M W F 8:00AM-8:50AM,
Wabash College,2021-22,F,CSC-111,01,Intro to Programming,"Turner, William",TU TH 2:40PM-3:55PM,
Wabash College,2021-22,F,CSC-241,01,Intro to Machine Organization,"McKinney, Colin",TU TH 8:00AM-9:15AM,
Wabash College,2021-22,F,CSC-244,01,Theory of Computing,"McCartin-Lim, Mark",M W F 3:10PM-4:00PM,
Wabash College,2021-22,F,CSC-271,01,Intro to Data Science,"Westphal, Chad",TU TH 9:45AM-11:00AM,
Wabash College,2021-22,F,CSC-338,01,Topics in Computational Math,"McCartin-Lim, Mark",TU TH 2:40PM-3:55PM,
Wabash College,2021-22,F,CSC-400,01,Senior Capstone,"McCartin-Lim, Mark",TU TH 1:10PM-2:25PM,
Wabash College,2021-22,S,CSC-106,01,Retro 2D Videogame Programming,"McKinney, Colin",TU TH 8:00AM-9:15AM,
Wabash College,2021-22,S,CSC-106,02,Retro 2D Videogame Programming,"McKinney, Colin",TU TH 8:00AM-9:15AM,
Wabash College,2021-22,S,CSC-111,01,Intro to Programming,"McCartin-Lim, Mark",TU TH 2:40PM-3:55PM,
Wabash College,2021-22,S,CSC-211,01,Intro to Data Structures,"Westphal, Chad",M W F 9:00AM-9:50AM,
Wabash College,2021-22,S,CSC-235,01,Stochastic Simulation,"Westphal, Chad",M W F 2:10PM-3:00PM,
Wabash College,2021-22,S,CSC-242,01,Theory of Programming Language,"McCartin-Lim, Mark",TU TH 1:10PM-2:25PM,
Wabash College,2021-22,S,CSC-243,01,Algorithm Design and Analysis,"McCartin-Lim, Mark",M W F 3:10PM-4:00PM,
Wabash College,2021-22,S,CSC-271,01,Intro Quantum Info & Computing,"Krause, Dennis",M W F 10:00AM-10:50AM,
