college,academic_year,term,course_code,section,course_name,instructor,time,url
Wartburg College,2021-22,F,CS 110,01,Introduction to Information Systems,"Hamilton, Peggy K.","TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 120,01,Intro to Computers and Programming,"Letsche, Terry L.","MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, SC - 140 - Biology Room",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 120,02,Intro to Computers and Programming,"Zelle, John M.","MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, SC - 041 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 230,01,Organization of Prog Lang,"Zelle, John M.","MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 250,01,Systems Analysis,"Letsche, Terry L.","MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, SC - 245 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 385,01,Concurrent Systems Fundamentals,"Letsche, Terry L.",,https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,F,CS 385,01,Concurrent Systems Fundamentals,"Letsche, Terry L.","TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 110,01,Introduction to Information Systems,"Letsche, Terry L.","TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 110,02,Introduction to Information Systems,"Hamilton, Peggy K.","TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 205,01,Data Wrangling and Visualization,"Letsche, Terry L.","MWF 10:45 AM-11:50 AM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 220,01,Obj-Orient Prog & Intro Data Struct,"Zelle, John M.","MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 320,01,Data Structure & Algorithm Analysis,"Zelle, John M.","MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 371,01,Internship - Aboundant,"Zelle, John M.",,https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 460,01,Systems Design Project,"Zelle, John M.","TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 461,01,Perspectives in Computer Science,"Letsche, Terry L.",,https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2021-22,S,CS 461,01,Perspectives in Computer Science,"Letsche, Terry L.","MWF 1:15 PM-2:20 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 110,01,Introduction to Information Systems,"Hamilton, Peggy K.","TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 120,01,Intro to Computers and Programming,"Letsche, Terry L.","MWF 7:45 AM-8:50 AM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 120,02,Intro to Computers and Programming,"Zelle, John M.","MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, SC - 134 - Lecture Room",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 225,01,Object-Oriented Modeling and Design,"Zelle, John M.","TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 350,01,Information Resource Management,"Letsche, Terry L.","MWF 9:00 AM-10:05 AM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 371,01,Internship: VGM Group Inc.,"Zelle, John M.",,https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 373,01,Artificial Intelligence,"Zelle, John M.","MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,F,CS 460,01,Systems Design Project,"Zelle, John M.","TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,S,CS 110,01,Introduction to Information Systems,"Hamilton, Peggy K.","TH 9:35 AM-11:15 AM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,S,CS 110,02,Introduction to Information Systems,"Hamilton, Peggy K.","TH 1:00 PM-2:40 PM; Wartburg College Campus, Science Center, SC - 247 - Classroom",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,S,CS 220,01,Obj-Orient Prog & Intro Data Struct,"Breutzmann, Josef M.","MWF 12:00 PM-1:05 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
Wartburg College,2022-23,S,CS 235,01,Computer and Network Security,"Letsche, Terry L.","MWF 2:30 PM-3:35 PM; Wartburg College Campus, Science Center, SC - 345 - CLASSROOM",https://my.wartburg.edu/ics/Academics/Academics_Homepage.jnz?portlet=Course_Search&screen=Advanced+Course+Search&screenType=next
