college,academic_year,term,course_code,section,course_name,instructor,time,url
Washington College,2024-25,S,CSI 111,10,Computer Science I,"Switzer, H",MWF 10:30AM - 11:20AM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 112,10,Computer Science II,"Ramsey, S",MWF 11:30AM - 12:20PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 230,10,Applied Decision Analysis,"Lobo, A",TuTh 4:00PM - 5:15PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 240,10,Discrete Mathematics,"Switzer, H",TuTh 8:30AM - 9:45AM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 320,10,Theory of Computation,"Ramsey, S",MWF 1:30PM - 2:20PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 360,10,Machine Learning,"Poulsen, D",TuTh 11:30AM - 12:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 394,10,SpTp: Cryptography,"Switzer, H",TuTh 10:00AM - 11:15AM; GLDS 218,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 460,10,Software Engineering,"Lobo, A",TuTh 1:00PM - 2:15PM; SMTH 111,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2024-25,S,CSI 470,10,Computer Networks,"Ramsey, S",TuTh 2:30PM - 3:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/course-schedule-spring-2025.pdf
Washington College,2025-26,F,CSI 104,10,Introduction to Game Design,"Ramsey, S",TuTh 2:30PM - 3:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 111,10,Computer Science I,"Switzer, H",MWF 9:30AM - 10:20AM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 111,11,Computer Science I,"Switzer, H",MWF 11:30AM - 12:20PM; CMWL 210,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 210,10,Object Oriented Programming,"Ramsey, S",TuTh 11:30AM - 12:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 220,10,Data Science,"Lobo, A",TuTh 4:00PM - 5:15PM; SMTH 111,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 294,10,SpTp:Intro to Game Developmnt,"Ramsey, S",TuTh 2:30PM - 3:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 310,10,Database Systems,"Lobo, A",TuTh 1:00PM - 2:15PM; SMTH 111,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,F,CSI 380,10,Design & Analysis of Algorithm,"Switzer, H",TuTh 10:00AM - 11:15AM; GLDS 107,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/25fa-course-schedule.pdf
Washington College,2025-26,S,CSI 111,10,Computer Science I,"Switzer, H",MWF 9:30AM - 10:20AM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 112,10,Computer Science II,"Ramsey, S",MW 3:30PM - 4:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 194,10,SpTp: Bldng Computers w/Games,"Ramsey, S",M 5:00PM - 7:30PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 240,10,Discrete Mathematics,"Switzer, H",TuTh 8:30AM - 9:45AM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 294,10,SpTp:Comp Arch thr Simulation,"Ramsey, S",M 5:00PM - 7:30PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 320,10,Theory of Computation,"Ramsey, S",TuTh 1:00PM - 2:15PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 450,10,Data Ethics & Practicum,"Poulsen, D",TuTh 11:30AM - 12:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
Washington College,2025-26,S,CSI 460,10,Software Engineering,"Lobo, A",TuTh 2:30PM - 3:45PM; DUNN N103,https://www.washcoll.edu/people_departments/offices/registrar/course-schedule/26sp-course-schedule.pdf
