college,academic_year,term,course_code,section,course_name,instructor,time,url
Wellesley College,2019-20,F,CS111,01,Computer Programming and Problem Solving,Wood,TF 11:20-12:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,02,Computer Programming and Problem Solving,Lerner,TF 12:45-2:00,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,03,Computer Programming and Problem Solving,Lerner,TF 2:10-3:25,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L01,Computer Programming and Problem Solving,Lee,W 8:30-10:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L02,Computer Programming and Problem Solving,Lee,W 10:30-12:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L03,Computer Programming and Problem Solving,Mawhorter,W 10:30-12:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L04,Computer Programming and Problem Solving,Lee,W 1:30-3:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L05,Computer Programming and Problem Solving,Mawhorter,W 3:30-5:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L06,Computer Programming and Problem Solving,Lee,Th 8:30-10:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L07,Computer Programming and Problem Solving,Lee,Th 10:30-12:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS111,L08,Computer Programming and Problem Solving,Mawhorter,Th 10:30-12:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,01,Computing for the Socio-Techno Web,Mustafaraj,MTh 8:30-9:45,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,02,Computing for the Socio-Techno Web,Bassem,MTh 9:55-11:10,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,D01,Computing for the Socio-Techno Web,Kakavouli,T 8:30-9:45,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,D02,Computing for the Socio-Techno Web,Kakavouli,T 9:55-11:10,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,D03,Computing for the Socio-Techno Web,Mawhorter,T 12:45-2:00,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS115,D04,Computing for the Socio-Techno Web,Mawhorter,T 2:10-3:25,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS204,,Introduction to Front-End Web Development,Anderson,TF 12:45-2:00,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS220,,Human-Computer Interaction,Delcourt,MTh 9:55-11:10,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,01,Data Structures,Metaxas,MTh 2:20-3:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,02,Data Structures,Metaxas,MTh 11:20-12:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,L01,Data Structures,Kakavouli,W 8:30-10:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,L02,Data Structures,Kakavouli,W 10:30-12:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,L03,Data Structures,Kakavouli,W 1:30-3:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS230,L04,Data Structures,Herbst,W 1:30-3:20,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS231,,Fundamental Algorithms,Bassem,MTh 11:20-12:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS234,,Data Analytics and Visualization,Mustafaraj,MTh 2:20-3:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS235,,Languages and Automata,Freire,TF 11:20-12:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS240,01,Foundations of Computer Systems,Davis,TF 8:30-9:45,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS240,02,Foundations of Computer Systems,Davis,TF 9:55-11:10,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS240,L01,Foundations of Computer Systems,Herbst,M 9:55-12:55,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS240,L02,Foundations of Computer Systems,Herbst,M 1:30-4:30,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS240,L03,Foundations of Computer Systems,Herbst,M 5:15-8:15,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS251,,Programming Languages,Wood,TF 2:10-3:25,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS304,,Databases with Web Interfaces,Anderson,TF 9:55-11:10,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS305,,Machine Learning,Tjaden,MTh 11:20-12:35,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
Wellesley College,2019-20,F,CS307,,Computer Graphics,Hildreth,MTh 8:30-9:45,https://www1.wellesley.edu/sites/default/files/assets/departments/computerscience/fall_2019.pdf
