college,academic_year,term,course_code,section,course_name,instructor,time,url
Wesleyan University,2021-22,F,COMP112,01,Introduction to Programming,"Krizanc,Daniel",T 08:50AM-10:10AM; R 08:50AM-10:10AM; SCIE201; SCIE74;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003328&term=1219
Wesleyan University,2021-22,F,COMP112,02,Introduction to Programming,"Krizanc,Daniel",T 10:20AM-11:40AM; R 10:20AM-11:40AM; SCIE201; SCIE74;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003328&term=1219
Wesleyan University,2021-22,F,COMP112,04,Introduction to Programming,"Thayer,Kelly M.",T 08:50AM-10:10AM; R 08:50AM-10:10AM; SCIE58; OLIN014;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003328&term=1219
Wesleyan University,2021-22,F,COMP112,05,Introduction to Programming,"Thayer,Kelly M.",T 08:50AM-10:10AM; R 10:20AM-11:40AM; SCIE58; OLIN014;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003328&term=1219
Wesleyan University,2021-22,F,COMP112,06,Introduction to Programming,"Thayer,Kelly M.",T 08:50AM-10:10AM; R 01:20PM-02:40PM; SCIE58; OLIN014;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003328&term=1219
Wesleyan University,2021-22,F,COMP115,01,How to Design Programs,"Rose,Robert",M 01:20PM-02:40PM; W 01:20PM-02:40PM; SCIE113; OLIN014;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=014635&term=1219
Wesleyan University,2021-22,F,COMP115,02,How to Design Programs,"Rose,Robert",M 02:50PM-04:10PM; W 02:50PM-04:10PM; SCIE137; OLIN014;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=014635&term=1219
Wesleyan University,2021-22,F,COMP131F,01,Can Machines Think? (FYS),"Lipton,James",F 09:00AM-11:50AM; SCIE216;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=016325&term=1219
Wesleyan University,2021-22,F,COMP211,01,Computer Science I,"Manfredi,Victoria Ursula",TR 08:50AM-10:10AM; W 01:20PM-02:40PM; SCIE121; SCIE72;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003331&term=1219
Wesleyan University,2021-22,F,COMP211,02,Computer Science I,"Manfredi,Victoria Ursula",TR 08:50AM-10:10AM; W 02:50PM-04:10PM; SCIE121; SCIE72;,https://owaprod-pub.wesleyan.edu/reg/!wesmaps_page.html?stuid=&facid=NONE&crse=003331&term=1219
