college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Westminster College (PA),2025-26,S,CS 112,01,Introduction to R,"Bonomo, John",MWF 8:10 AM – 9:10 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2526&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Data science
Westminster College (PA),2025-26,S,CS 152,01,Principles of Computer Science II,"Bonomo, John",MWF 10:30 AM – 11:30 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2526&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Core
Westminster College (PA),2025-26,S,CS 230,01,Introduction to Data Science,"Blumenthal, Adam",MWF 9:20 AM – 10:20 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2526&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Data science
Westminster College (PA),2025-26,S,CS 331,01,Adv Data Structures & Algorithms,"Bonomo, John",MWF 2:00 PM – 3:00 PM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2526&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Algorithms & complexity
Westminster College (PA),2025-26,S,CS 602,01,Computer Science Capstone II,"Bonomo, John",TO BE ANNOUNCED,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2526&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Misc
Westminster College (PA),2026-27,F,CS 151,01,Principles of Computer Sci I Lab,"Blumenthal, Adam",M 6:30 PM – 8:30 PM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Misc
Westminster College (PA),2026-27,F,CS 151,01,Principles of Computer Sci I (QR),"Blumenthal, Adam",MWF 10:30 AM – 11:30 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Core
Westminster College (PA),2026-27,F,CS 251,01,Data Structures,"Bonomo, John",MWF 10:30 AM – 11:30 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Core
Westminster College (PA),2026-27,F,CS 321,01,Database Theory & Design,"Bonomo, John",MWF 2:00 PM – 3:00 PM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Databases
Westminster College (PA),2026-27,F,CS 341,01,Artificial Intelligence,"Bonomo, John",MWF 8:10 AM – 9:10 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Artificial intelligence
Westminster College (PA),2026-27,F,CS 601,01,Computer Science Capstone I,"Bonomo, John",TO BE ANNOUNCED,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=10&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Misc
Westminster College (PA),2026-27,S,CS 110,01,Introduction to Python,"Bonomo, John",MWF 9:20 AM – 10:20 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Core
Westminster College (PA),2026-27,S,CS 130,01,Data Visualization,"Fontes Merz, Natacha",MWF 8:10 AM – 9:10 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Visualization
Westminster College (PA),2026-27,S,CS 152,01,Principles of Computer Science II,"Blumenthal, Adam",MWF 10:30 AM – 11:30 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Core
Westminster College (PA),2026-27,S,CS 311,01,Computer Architecture,"Bonomo, John",MWF 3:10 PM – 4:10 PM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Computer architecture
Westminster College (PA),2026-27,S,CS 411,01,Language Design & Implementation,"Bonomo, John",MWF 12:50 PM – 1:50 PM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Programming languages
Westminster College (PA),2026-27,S,CS 602,01,Computer Science Capstone II,"Bonomo, John",TO BE ANNOUNCED,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Misc
Westminster College (PA),2026-27,S,CS 614,01,Topics: Theory of Computation,"Blumenthal, Adam",MWF 8:10 AM – 9:10 AM,https://www4.westminster.edu/resources/academics/course-schedule.cfm?year=2627&term=20&subject=CS&clusters_only=0&open_only=0&sl_only=0&rs_only=0&division=UG,Algorithms & complexity
