college,academic_year,term,course_code,section,course_name,instructor,time,url
Wheaton College (MA),2021-22,F,COMP 115,A01,Problem Solving and Python Programming,Tony Tong,MWF 10:30-11:20 (BHCC MEDIA); Th 14:00-17:00 (BHCC MEDIA),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 115,L01,Prob Solving/Python Prog Lab,Tony Tong,W 15:30-17:20 (SCIENC 1314),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 115,L02,Prob Solving/Python Prog Lab,Tony Tong,M 15:30-17:20 (SCIENC 1314),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 118,A01,Object-Oriented Programming,Mark LeBlanc,MWF 10:30-11:20 (SCIENC 1315); Th 14:00-17:00 (SCIENC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 118,L01,Object-Oriented Program Lab,Mark LeBlanc,W 15:30-17:20 (SCIENC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 215,A01,Algorithms,Michael Gousie,MWF 11:30-12:20 (SCIENC 1315); F 14:00-17:00,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 215,L01,Algorithms Lab,Michael Gousie,W 15:30-17:20 (SCIENC 1313),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 298,A02,Mobile Computing,Martin Gagne,Th 09:00-12:00 (SCIENC 1315); MW 14:00-15:20 (SCIENC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 335,A01,Principles of Programming Languages,Michael Gousie,T 09:00-12:00 (SCIENC 1315); MW 12:30-13:50 (SCIENC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 370,A01,Computer Security,Martin Gagne,M 09:00-12:00 (SCIENC 1315); TTh 14:00-15:20 (SCIENC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 399,A01,Ind St:Game Develop & Design,Mark LeBlanc,,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 399,A02,Ind St: Machine Learning,Mark LeBlanc,,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 399,A03,Ind St: Software Development,Tony Tong,,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,F,COMP 399,A04,Ind St:Overhanging Terrain Rep,Michael Gousie,,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 115,B01,Problem Solving and Python Programming,Tony Tong,TTh 11:00-12:20 (BHCC MEDIA); F 14:00-17:00 (BHCC MEDIA),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 115,L01,Problem Solving and Python Programming,Tony Tong,T 15:30-17:20 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 115,L02,Problem Solving and Python Programming,Tony Tong,Th 15:30-17:20 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 118,B01,Object-Oriented Programming,Mark LeBlanc,TTh 11:00-12:20 (DC 1315); F 14:00-17:00 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 118,L01,Object-Oriented Programming,Mark LeBlanc,W 15:30-17:20 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 121,B01,Foundations of Computing Theory,Mark LeBlanc,T 09:00-12:00 (SCMARS 1141); TTh 14:00-15:20 (SCMARS 1141),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 212,B01,Web Development,Michael Gousie,W 09:00-12:00 (DC 1315); MW 12:30-13:50 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 220,B01,Computer Organization and Assembly Language,Michael Gousie,MWF 10:30-11:20 (DC 1315); W 14:00-17:00 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 220,L01,Computer Organization and Assembly Language,Michael Gousie,T 15:30-17:20 (DC 1349),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 325,B01,Database Systems,Walter Eykel,T 18:00-20:30 (DC 1315),https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
Wheaton College (MA),2021-22,S,COMP 399,B01,Ind St: Adv Top Cybersecurity,Martin Gagne,,https://banprodselfservice.wheatonma.edu:7341/StudentRegistrationSsb/ssb/classSearch/classSearch
