college,academic_year,term,course_code,section,course_name,instructor,time,url
Whitman College,2025-26,S,CS-110,A,Comp Systems & Society,John A. Stratton,M/W/F 2:30 PM - 3:50 PM,
Whitman College,2025-26,S,CS-167,A,Computational Prob Solvng,Sachintha Pitigala,M/T/W/F 8:00 AM - 8:50 AM,
Whitman College,2025-26,S,CS-167,B,Computational Prob Solvng,Sachintha Pitigala,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2025-26,S,CS-215,A,Intro to Data Science,Jordan Wirfs-Brock,T/Th 10:00 AM - 11:20 AM,
Whitman College,2025-26,S,CS-218,A,Applied Machine Learning,Sachintha Pitigala,M/W/F 1:00 PM - 2:20 PM,
Whitman College,2025-26,S,CS-270,A,Data Structures,Richard Torres Molina,M/T/W/F 8:00 AM - 8:50 AM,
Whitman College,2025-26,S,CS-270,B,Data Structures,Richard Torres Molina,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2025-26,S,CS-301,A,ST: HCI R&D Practicum,Jordan Wirfs-Brock,T/Th 1:00 PM - 2:20 PM,
Whitman College,2025-26,S,CS-327,A,Algorithm Design & Analysis,John A. Stratton,M/W/F 10:00 AM - 10:50 AM,
Whitman College,2025-26,S,CS-370,A,Software Design,Richard Torres Molina,M/W 2:30 PM - 3:50 PM,
Whitman College,2025-26,S,CS-370L,A,Software Design Lab,Richard Torres Molina,F 2:30 PM - 3:50 PM,
Whitman College,2025-26,S,CS-482,A,Independent Study,,Meeting Times TBD,
Whitman College,2025-26,S,CS-482,B,Independent Study,,Meeting Times TBD,
Whitman College,2025-26,S,CS-482,C,IS: NewMedia 3D Art - Code&AI,,Meeting Times TBD,
Whitman College,2025-26,S,CS-482,D,Independent Study,,Meeting Times TBD,
Whitman College,2025-26,S,CS-495,A,Capstone Project I,,Meeting Times TBD,
Whitman College,2025-26,S,CS-496,A,Capstone Project II,Jordan Wirfs-Brock William H. Bares,Th 2:30 PM - 3:50 PM,
Whitman College,2025-26,S,CS-497,A,Advanced Project,Jordan Wirfs-Brock William H. Bares,TBD,
Whitman College,2025-26,S,CS-498,A,Honors Project,,Meeting Times TBD,
Whitman College,2025-26,S,CS-498,B,Honors Project,,Meeting Times TBD,
Whitman College,2025-26,S,CS-498,C,Honors Project,,Meeting Times TBD,
Whitman College,2026-27,F,CS-110,A,Comp Systems & Society,Richard Torres Molina,M/W/F 1:00 PM - 2:20 PM,
Whitman College,2026-27,F,CS-167,A,Computational Prob Solvng,Sachintha Pitigala,M/T/W/F 8:00 AM - 8:50 AM,
Whitman College,2026-27,F,CS-167,B,Computational Prob Solvng,Sachintha Pitigala,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2026-27,F,CS-170,A,Math Foundns of Computing,Eric Autry,T/Th 10:00 AM - 11:20 AM,
Whitman College,2026-27,F,CS-215,A,Intro to Data Science,Sachintha Pitigala,T/Th 10:00 AM - 11:20 AM,
Whitman College,2026-27,F,CS-267,A,Human-Computer Interaction,William H. Bares,T/Th 1:00 PM - 2:20 PM,
Whitman College,2026-27,F,CS-270,A,Data Structures,Richard Torres Molina,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2026-27,F,CS-320,A,Theory of Computation,Eric Autry,T/Th 2:30 PM - 3:50 PM,
Whitman College,2026-27,F,CS-481,A,Independent Study,,Meeting Times TBD,
Whitman College,2026-27,F,CS-481,B,Independent Study,,Meeting Times TBD,
Whitman College,2026-27,F,CS-482,C,Independent Study,,Meeting Times TBD,
Whitman College,2026-27,F,CS-495,A,Capstone Project I,William H. Bares,M/W 2:30 PM - 3:50 PM,
Whitman College,2026-27,F,CS-496,A,Capstone Project II,,Meeting Times TBD,
Whitman College,2026-27,S,CS-110,A,Comp Systems & Society,Richard Torres Molina,M/W/F 1:00 PM - 2:20 PM,
Whitman College,2026-27,S,CS-167,A,Computational Prob Solvng,Sachintha Pitigala,M/T/W/F 8:00 AM - 8:50 AM,
Whitman College,2026-27,S,CS-167,B,Computational Prob Solvng,William H. Bares,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2026-27,S,CS-215,A,Intro to Data Science,Adriana Ortiz-Aquino,T/Th 11:30 AM - 12:50 PM,
Whitman College,2026-27,S,CS-218,A,Applied Machine Learning,Douglas R. Hundley,T/Th 10:00 AM - 11:20 AM,
Whitman College,2026-27,S,CS-260,A,Team Web Development,William H. Bares,T/Th 1:00 PM - 2:20 PM,
Whitman College,2026-27,S,CS-270,A,Data Structures,Richard Torres Molina,M/T/W/F 9:00 AM - 9:50 AM,
Whitman College,2026-27,S,CS-310,A,Computer Systems Programming,Sachintha Pitigala,M/W/F 1:00 PM - 2:20 PM,
Whitman College,2026-27,S,CS-327,A,Algorithm Design & Analysis,,Meeting Times TBD,
Whitman College,2026-27,S,CS-370,A,Software Design,Richard Torres Molina,M/W 2:30 PM - 3:50 PM,
Whitman College,2026-27,S,CS-370L,A,Software Design Lab,Richard Torres Molina,F 2:30 PM - 3:50 PM,
Whitman College,2026-27,S,CS-482,A,Independent Study,,Meeting Times TBD,
Whitman College,2026-27,S,CS-482,B,Independent Study,,Meeting Times TBD,
Whitman College,2026-27,S,CS-496,A,Capstone Project II,William H. Bares,T/Th 10:00 AM - 11:20 AM,
Whitman College,2026-27,S,CS-497,A,Advanced Project,William H. Bares,TBD,
