college,academic_year,term,course_code,section,course_name,instructor,time,url
Williams College,2021-22,F,CSCI 134,01,LEC Intro to Computer Science,Jeannie R Albrecht,MWF 10:00 am - 10:50 am Schow Library Classroom 030A,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,02,LEC Intro to Computer Science,Shikha Singh,MWF 9:00 am - 9:50 am Schow Library Classroom 030A,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,03,LAB Intro to Computer Science,Shikha Singh,M 1:10 pm - 2:25 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,04,LAB Intro to Computer Science,Jeannie R Albrecht,T 1:10 pm - 2:25 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,05,LAB Intro to Computer Science,Kelly A. Shaw,M 1:10 pm - 2:25 pm Chemistry 216,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,06,LAB Intro to Computer Science,Kelly A. Shaw,M 2:35 pm - 3:50 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,07,LAB Intro to Computer Science,Kelly A. Shaw,T 1:10 pm - 2:25 pm Chemistry 216,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 134,08,LAB Intro to Computer Science,Kelly A. Shaw,T 2:35 pm - 3:50 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=134&crsid=010801&req_year=22
Williams College,2021-22,F,CSCI 136,01,LEC Data Strctures & Advanced Prog,Duane A. Bailey,MWF 9:00 am - 9:50 am Schow Library Classroom 030B,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,02,LEC Data Strctures & Advanced Prog,Duane A. Bailey,MWF 10:00 am - 10:50 am Schow Library Classroom 030B,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,03,LEC Data Strctures & Advanced Prog,Aaron M. Williams,MWF 11:00 am - 11:50 am Schow Library Classroom 030B,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,04,LAB Data Strctures & Advanced Prog,Duane A. Bailey,R 9:55 am - 11:10 am Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,05,LAB Data Strctures & Advanced Prog,Duane A. Bailey,R 1:10 pm - 2:25 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,06,LAB Data Strctures & Advanced Prog,Aaron M. Williams,R 2:35 pm - 3:50 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,07,LAB Data Strctures & Advanced Prog,Aaron M. Williams,W 1:10 pm - 2:25 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 136,08,LAB Data Strctures & Advanced Prog,Duane A. Bailey,W 2:35 pm - 3:50 pm Chemistry 217,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=136&crsid=010803&req_year=22
Williams College,2021-22,F,CSCI 237,01,LEC Computer Organization,Kelly A. Shaw,MWF 12:00 pm - 12:50 pm Schow Library Classroom 030B,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=237&crsid=010805&req_year=22
Williams College,2021-22,F,CSCI 237,02,LAB Computer Organization,Kelly A. Shaw,R 9:55 am - 11:10 am Biology 301,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=237&crsid=010805&req_year=22
Williams College,2021-22,F,CSCI 237,03,LAB Computer Organization,Kelly A. Shaw,R 11:20 am - 12:35 pm Biology 301,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=237&crsid=010805&req_year=22
Williams College,2021-22,F,CSCI 256,01,LEC Algorithm Design & Analysis,Marina  Barsky,MWF 11:00 am - 11:50 am Schow Library Classroom 030A,https://catalog.williams.edu/2122/csci/detail/?strm=1221&cn=256&crsid=010806&req_year=22
