college,academic_year,term,course_code,section,course_name,instructor,time,url
Wittenberg University,2025-26,S,COMP-125,01,Computer Science Principles,Wilson T,M/W/F 1:50 PM - 2:50 PM,
Wittenberg University,2026-27,F,COMP-125,01,Computer Science Principles,Wilson T,M/W/F 1:50 PM - 2:50 PM,
Wittenberg University,2025-26,S,COMP-150,01,Computer Programming I,Wilson T,M/W/F 9:10 AM - 10:10 AM,
Wittenberg University,2026-27,F,COMP-150,01,Computer Programming I,Wilson T,M/W/F 9:10 AM - 10:10 AM,
Wittenberg University,2026-27,F,COMP-171,1ST1,Discrete Mathematics,Parker A,M/W/F 10:20 AM - 11:20 AM,
Wittenberg University,2025-26,S,COMP-225,01,Intro to Computer Systems,Wilson T,M/W/F 11:30 AM - 12:30 PM,
Wittenberg University,2025-26,S,COMP-240,01,Object Oriented Programming,Ngwobia S,M/W/F 10:20 AM - 11:20 AM,
Wittenberg University,2026-27,F,COMP-240,01,Object Oriented Programming,Ngwobia S,M/W/F 9:10 AM - 10:10 AM,
Wittenberg University,2026-27,F,COMP-265,01,Prin Programming Language,Ngwobia S,M/W/F 11:30 AM - 12:30 PM,
Wittenberg University,2025-26,S,COMP-290,01,Databases,Wilson T,T/Th 2:10 PM - 3:40 PM,
Wittenberg University,2026-27,F,COMP-305,01,Intro to Cybersecurity,Ben-Azzouz M,M/W/F 8:00 AM - 9:00 AM,
Wittenberg University,2026-27,F,COMP-351,01,Operating Systems,Wilson T,T/Th 2:10 PM - 3:40 PM,
Wittenberg University,2026-27,F,COMP-353,01,Software Engineering,Ngwobia S,M/W/F 1:50 PM - 2:50 PM,
Wittenberg University,2025-26,S,COMP-355,01,Advanced Software Development,Ngwobia S,M/W/F 12:40 PM - 1:40 PM,
