college,academic_year,term,course_code,section,course_name,instructor,time,url
Wofford College,2021-22,F,COSC 150,A,Science Using Computation,"Panoff, Robert",TR 0930-1050 RMSC 121,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 150,AL,Science Using Computation Lab,"Panoff, Robert",T 1430-1730 OLIN 212,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 201,A,Modeling & Simulation,"Grotheer, Rachel",MWF 0830-0920 OLIN 212,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 235,A,Programming & Problem Solving,"Sykes, David",MWF 0830-0920 OLIN 218,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 235,B,Programming & Problem Solving,"Sykes, David",MWF 1130-1220 OLIN 218,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 273,A,Computer Organization & Arch,"Sykes, David",TR 0930-1050 OLIN 103,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 315,A,Computer Networks,"Sykes, David",TR 1300-1420 OLIN 213,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 320,A,Programming Languages,"Garrett, Aaron",TR 0930-1050 OLIN 218,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 350,A,Data Structures & Algorithms,"Garrett, Aaron",MWF 1030-1120 OLIN 213,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,F,COSC 410,A,Software Engineering,"Garrett, Aaron",M 1300-1350 OLIN 103,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202109.pdf
Wofford College,2021-22,S,COSC 150,A,Science Using Computation,"Panoff, Robert",TR 0930-1050 SNY ANNEX,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 150,AL,Science Using Computation Lab,"Panoff, Robert",T 1430-1730 OLIN 212,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 235,A,Programming & Problem Solving,"Sykes, David",MWF 0830-0920 MSBVC 112,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 235,B,Programming & Problem Solving,"Sykes, David",MWF 1130-1220 MSBVC 112,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 240,A,Discrete Structures,"Garrett, Aaron",TR 1300-1420 OLIN 218,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 330,A,Databases,"Garrett, Aaron",TR 0930-1050 OLIN 218,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 340,A,Theory of Computation,"Christ, Beau",MWF 0930-1020 MSBVC 112,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
Wofford College,2021-22,S,COSC 350,A,Data Structures & Algorithms,"Garrett, Aaron",MWF 1030-1120 OLIN 118,https://connect.wofford.edu/myWofford/registrar/courseSchedule/courseSchedules/courseSchedule202202.pdf
