college,UNITID,ipeds_name,cs_cip_codes,2021,2022,2023,2024
Albion College,168546,Albion College,11.0701,4,2,1,3
Albright College,210571,Albright College,11.0101,10,10,9,6
Allegheny College,210669,Allegheny College,11.0701,19,20,22,21
Amherst College,164465,Amherst College,11.0701,34,55,55,52
Augustana College,143084,Augustana College,11.0701,21,27,21,17
Austin College,222983,Austin College,11.0701,5,9,12,18
Ave Maria University,446048,Ave Maria University,,0,0,0,0
Bard College,189088,Bard College,,0,0,0,0
Barnard College,189097,Barnard College,11.0101;11.0701;30.0801,32,44,57,63
Beloit College,238333,Beloit College,11.0701,6,12,11,9
Berea College,156295,Berea College,11.0101,29,22,31,31
Bethany College (WV),237181,Bethany College,11.0701,2,5,4,2
Bethany Lutheran College,173142,Bethany Lutheran College,11.0701,2,2,3,7
Bowdoin College,161004,Bowdoin College,11.0701;30.0801;30.3101,32,55,46,53
Bridgewater College,231581,Bridgewater College,11.0701,8,7,13,11
Bryn Athyn College,210492,Bryn Athyn College of the New Church,,0,0,0,0
Bryn Mawr College,211273,Bryn Mawr College,11.0701,22,18,19,10
Bucknell University,211291,Bucknell University,11.0101,22,26,24,29
Carleton College,173258,Carleton College,11.0701,54,59,80,78
Central College,153108,Central College,11.0701,5,8,8,11
Centre College,156408,Centre College,11.0701,17,16,12,11
Claflin University,217873,Claflin University,11.0701,12,12,6,7
Coe College,153144,Coe College,11.0701,15,11,10,5
Colby College,161086,Colby College,11.0701;30.3101,44,48,43,37
Colgate University,190099,Colgate University,11.0701;30.0801,48,49,64,46
College of St Benedict,174747,College of Saint Benedict,11.0701,4,7,9,4
College of the Holy Cross,166124,College of the Holy Cross,11.0701,17,26,15,19
College of Wooster,206589,The College of Wooster,11.0701,10,25,24,27
Colorado College,126678,Colorado College,11.0199,24,20,28,30
Concordia College,173300,Concordia College at Moorhead,11.0701,10,10,15,11
Connecticut College,128902,Connecticut College,11.0701,21,27,32,32
Cornell College,153162,Cornell College,11.0701,19,16,15,11
Covenant College,139393,Covenant College,11.0101,11,8,7,10
Davidson College,198385,Davidson College,11.0701,30,34,54,44
Denison University,202523,Denison University,11.0701,18,19,18,28
DePauw University,150400,DePauw University,11.0701,40,41,46,39
Dickinson College,212009,Dickinson College,11.0701,15,20,14,20
Dillard University,158802,Dillard University,11.0101,8,5,6,6
Drew University,184348,Drew University,11.0701;11.1003,21,21,18,21
Earlham College,150455,Earlham College,11.0701,10,12,6,8
East-West University,144883,East-West University,11.0101,13,11,6,11
Eckerd College,133492,Eckerd College,11.0701,7,4,2,3
Emmanuel College,165671,Emmanuel College,,0,0,0,0
Fisk University,220181,Fisk University,11.0101,5,6,7,19
Franklin College,150604,Franklin College,11.0701,4,2,1,8
Franklin & Marshall College,212577,Franklin and Marshall College,11.0701,16,12,14,16
Furman University,218070,Furman University,11.0701,17,17,10,18
Gettysburg College,212674,Gettysburg College,11.0701,12,24,18,14
Gordon College,165936,Gordon College,11.0701,14,10,14,13
Goucher College,162654,Goucher College,11.0101;30.0801,7,10,8,3
Grinnell College,153384,Grinnell College,11.0701;11.9999,54,56,63,64
Gustavus Adolphus College,173647,Gustavus Adolphus College,11.0701,4,9,24,17
Hamilton College,191515,Hamilton College,11.0101,22,17,24,35
Hampden-Sydney College,232256,Hampden-Sydney College,11.0701,3,5,0,8
Hanover College,150756,Hanover College,11.0701,8,10,5,5
Hartwick College,191533,Hartwick College,11.0101,7,7,15,6
Harvey Mudd College,115409,Harvey Mudd College,11.0701;30.0801,84,104,99,89
Haverford College,212911,Haverford College,11.0101;11.0701,31,32,38,22
Hendrix College,107080,Hendrix College,11.0701,10,10,17,14
Hobart and William Smith College,191630,Hobart William Smith Colleges,11.0101,13,12,13,9
"Holy Cross College at Notre Dame, Indiana",150774,Holy Cross College,11.0701,0,0,0,2
Hope College,170301,Hope College,11.0101,11,13,16,15
Houghton University,191676,Houghton University,11.0101,8,1,6,3
Illinois College,145691,Illinois College,11.0701,10,8,8,6
Johnson C. Smith University,198756,Johnson C Smith University,11.0101,14,14,10,11
Juniata College,213251,Juniata College,11.0101;11.0701,15,8,13,11
Kalamazoo College,170532,Kalamazoo College,11.0101,24,22,29,18
Knox College,146427,Knox College,11.0701,15,19,24,28
Lafayette College,213385,Lafayette College,11.0101,28,20,33,21
Lake Forest College,146481,Lake Forest College,11.0199;11.0701,15,9,18,25
Lane College,220598,Lane College,11.0701,4,2,11,6
Lawrence University,239017,Lawrence University,11.0701,4,12,10,16
