name,title,college,url
Mark E. Bollman,Professor,Albion College,https://www.albion.edu/bio/mark-e-bollman/
Tim Clark,Associate Professor,Albion College,https://www.albion.edu/bio/tim-clark/
April Grow,Lecturer,Albion College,https://www.albion.edu/bio/april-grow/
Christopher Grow,Visiting Instructor,Albion College,https://www.albion.edu/bio/christopher-grow/
Mauricio Marengoni,Associate Professor,Albion College,https://www.albion.edu/bio/mauricio-marengoni/
Darren E. Mason,Professor,Albion College,https://www.albion.edu/bio/darren-e-mason/
David A. Reimann,Professor,Albion College,https://www.albion.edu/bio/david-a-reimann/
Yuming Zhang,Assistant Professor,Albion College,https://www.albion.edu/bio/yuming-zhang/
Don Baldridge,Assistant Professor,Albright College,
Dave Kaul,Assistant Professor,Albright College,
David Kopec,Professor,Albright College,
Oliver Bonham-Carter,Associate Professor,Allegheny College,https://allegheny.edu/about/campus-department-resources/faculty-and-staff-directory/oliver-bonham-carter/
Janyl Jumadinova,Associate Professor,Allegheny College,https://allegheny.edu/about/campus-department-resources/faculty-and-staff-directory/janyl-jumadinova/
Gregory Kapfhammer,Associate Professor,Allegheny College,https://allegheny.edu/about/campus-department-resources/faculty-and-staff-directory/gregory-kapfhammer/
Douglas Luman,Assistant Professor,Allegheny College,https://allegheny.edu/about/campus-department-resources/faculty-and-staff-directory/douglas-luman/
Scott P. Alfeld,Associate Professor,Amherst College,https://www.amherst.edu/people/facstaff/salfeld
Kristy Gardner,Associate Professor,Amherst College,https://www.amherst.edu/people/facstaff/kgardner
Scott F. Kaplan,Professor,Amherst College,https://www.amherst.edu/people/facstaff/sfkaplan
Myroslav Kryven,Assistant Professor,Amherst College,https://www.amherst.edu/people/facstaff/mkryven
Lillian C. Pentecost,Assistant Professor,Amherst College,https://www.amherst.edu/people/facstaff/lpentecost
John E. Rager,Professor,Amherst College,https://www.amherst.edu/people/facstaff/jerager
Matteo Riondato,Associate Professor,Amherst College,https://www.amherst.edu/people/facstaff/mriondato
Lee Spector,Professor,Amherst College,https://www.amherst.edu/people/facstaff/lspector
Shira B. Wein,Assistant Professor,Amherst College,https://www.amherst.edu/people/facstaff/swein
Andrew Wu,Assistant Professor,Amherst College,https://www.amherst.edu/people/facstaff/hwu
Robert Dickerson,Assistant Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/robert-dickerson
Zhengyi Li,Assistant Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/zhengyi-li
Bob Manasco,Instructor,Augustana College,https://www.augustana.edu/academics/faculty-directory/bob-manasco
Nidhi Mourya,Visiting Instructor,Augustana College,https://www.augustana.edu/academics/faculty-directory/nidhi-mourya
Diane C. Mueller,Adjunct Assistant Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/diane-c-mueller
Brooke Randazzo,Assistant Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/brooke-randazzo
Stacey Rodman,Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/stacey-rodman
Forrest J. Stonedahl,Associate Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/forrest-j-stonedahl
Andrew P. Sward,Associate Professor,Augustana College,https://www.augustana.edu/academics/faculty-directory/andrew-p-sward
Seema Aarella,Assistant Professor,Austin College,
Aaron Block,Associate Professor,Austin College,
Michael Higgs,Professor,Austin College,
Samuel Kroger,Assistant Professor,Austin College,
Kerri-Ann Norton,Associate Professor,Bard College,https://nortoncompbiolab.xyz/
Sven Anderson,Associate Professor,Bard College,https://cognlp.org/sven/
Jordan Ayala,Assistant Professor,Bard College,
Valerie Barr,Professor,Bard College,https://vbarr4.github.io/
Emma Benser,Assistant Professor,Bard College,https://emmahogan.github.io
Theresa Law,Assistant Professor,Bard College,https://theresa-law.com
Bob McGrail,Associate Professor,Bard College,https://asclab.org/asc/mcgrail
Annabel Rothschild,Assistant Professor,Bard College,https://annabelrothschild.com
Rebecca Wright,Professor,Barnard College,https://cs.barnard.edu/profiles/rebecca-wright
Smaranda Muresan,Associate Professor,Barnard College,https://cs.barnard.edu/profiles/smaranda-muresan
Ahmer Arif,Assistant Professor,Barnard College,https://cs.barnard.edu/profiles/ahmer-arif
Eysa Lee,Assistant Professor,Barnard College,https://cs.barnard.edu/profiles/eysa-lee
Mark Santolucito,Assistant Professor,Barnard College,https://cs.barnard.edu/profiles/mark-santolucito
