name,title,college,field,subfields
Mark E. Bollman,Professor,Albion College,Mathematics or Statistics,
Tim Clark,Associate Professor,Albion College,Mathematics or Statistics,
April Grow,Lecturer,Albion College,Mathematics or Statistics,
Christopher Grow,Visiting Instructor,Albion College,Mathematics or Statistics,
Mauricio Marengoni,Associate Professor,Albion College,Computer Science,Computer vision|Machine learning|Artificial intelligence
Darren E. Mason,Professor,Albion College,Mathematics or Statistics,
David A. Reimann,Professor,Albion College,Mathematics or Statistics,
Yuming Zhang,Assistant Professor,Albion College,Computer Science,Computer graphics
Don Baldridge,Assistant Professor,Albright College,Computer Science,
Dave Kaul,Assistant Professor,Albright College,Computer Science,Computer graphics
David Kopec,Professor,Albright College,Computer Science,Computer science education|Artificial intelligence|Algorithms & complexity
Oliver Bonham-Carter,Associate Professor,Allegheny College,Computer Science,Computational bio & bioinformatics|Data science
Janyl Jumadinova,Associate Professor,Allegheny College,Computer Science,Robotics|Artificial intelligence
Gregory Kapfhammer,Associate Professor,Allegheny College,Computer Science,Software engineering
Douglas Luman,Assistant Professor,Allegheny College,Computer Science,Natural language processing
Scott P. Alfeld,Associate Professor,Amherst College,Computer Science,Computer security & privacy
Kristy Gardner,Associate Professor,Amherst College,Computer Science,Algorithms & complexity|Measurement & performance analysis|Quantum computing|Distributed systems
Scott F. Kaplan,Professor,Amherst College,Computer Science,Operating systems|Measurement & performance analysis
Myroslav Kryven,Assistant Professor,Amherst College,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Lillian C. Pentecost,Assistant Professor,Amherst College,Computer Science,Computer architecture|Computer networks|Distributed systems
John E. Rager,Professor,Amherst College,Computer Science,Artificial intelligence|Natural language processing
Matteo Riondato,Associate Professor,Amherst College,Computer Science,Data science|Algorithms & complexity
Lee Spector,Professor,Amherst College,Computer Science,Artificial intelligence
Shira B. Wein,Assistant Professor,Amherst College,Computer Science,Natural language processing
Andrew Wu,Assistant Professor,Amherst College,Computer Science,Artificial intelligence
Robert Dickerson,Assistant Professor,Augustana College,Computer Science,Programming languages|Logic & verification
Zhengyi Li,Assistant Professor,Augustana College,Computer Science,Computer security & privacy|Distributed systems
Bob Manasco,Instructor,Augustana College,Computer Science,Robotics|Machine learning|Software engineering
Nidhi Mourya,Visiting Instructor,Augustana College,Computer Science,
Diane C. Mueller,Adjunct Assistant Professor,Augustana College,Computer Science,
Brooke Randazzo,Assistant Professor,Augustana College,Mathematics or Statistics,
Stacey Rodman,Professor,Augustana College,Mathematics or Statistics,
Forrest J. Stonedahl,Associate Professor,Augustana College,Computer Science,Artificial intelligence|Computer science education|Computational social science|Data science|Machine learning
Andrew P. Sward,Associate Professor,Augustana College,Mathematics or Statistics,
Seema Aarella,Assistant Professor,Austin College,Computer Science,Computer security & privacy|Cryptography
Aaron Block,Associate Professor,Austin College,Computer Science,
Michael Higgs,Professor,Austin College,Computer Science,
Samuel Kroger,Assistant Professor,Austin College,Mathematics or Statistics,
Kerri-Ann Norton,Associate Professor,Bard College,Computer Science,Computational bio & bioinformatics|Computer vision
Sven Anderson,Associate Professor,Bard College,Computer Science,Artificial intelligence|Human-computer interaction|Natural language processing
Jordan Ayala,Assistant Professor,Bard College,Computer Science,Data science
Valerie Barr,Professor,Bard College,Computer Science,Computer science education
Emma Benser,Assistant Professor,Bard College,Computer Science,Computer science education
Theresa Law,Assistant Professor,Bard College,Computer Science,Human-computer interaction|Robotics
Bob McGrail,Associate Professor,Bard College,Computer Science,Algorithms & complexity|Logic & verification
Annabel Rothschild,Assistant Professor,Bard College,Computer Science,Human-computer interaction
Rebecca Wright,Professor,Barnard College,Computer Science,Computer security & privacy|Distributed systems|Computer science education
Smaranda Muresan,Associate Professor,Barnard College,Computer Science,Natural language processing
Ahmer Arif,Assistant Professor,Barnard College,Computer Science,Human-computer interaction|Computer science education
Eysa Lee,Assistant Professor,Barnard College,Computer Science,Cryptography
Mark Santolucito,Assistant Professor,Barnard College,Computer Science,Logic & verification|Programming languages
Lucy Simko,Assistant Professor,Barnard College,Computer Science,Computer security & privacy|Human-computer interaction
Corey Toler-Franklin,Assistant Professor,Barnard College,Computer Science,Computer vision|Computer graphics
Tiffany Tseng,Assistant Professor,Barnard College,Computer Science,Human-computer interaction
Eyad Haj Said,Associate Professor,Beloit College,Computer Science,Machine learning|Data science|Computer vision
Katherine Harris,Assistant Professor,Beloit College,Mathematics or Statistics,
Sohaib Kiani,Assistant Professor,Beloit College,Computer Science,Machine learning
Tom Stojsavljevic,Assistant Professor,Beloit College,Mathematics or Statistics,
Ben Stucky,Assistant Professor,Beloit College,Computer Science,Algorithms & complexity
Jan Pearce,Professor,Berea College,Computer Science,Computer science education|Robotics|Computational social science|Human-computer interaction
Jacqueline Boggs,Assistant Professor,Berea College,Computer Science,Data science
Scott Heggen,Associate Professor,Berea College,Computer Science,Embedded & real-time systems|Mobile computing|Software engineering
Jasmine Jones,Associate Professor,Berea College,Computer Science,Human-computer interaction|Computer science education|Computational social science
Mario Nakazawa,Associate Professor,Berea College,Computer Science,Distributed systems|Algorithms & complexity|Artificial intelligence|Operating systems
Deanna Wilborne,Assistant Professor,Berea College,Computer Science,Machine learning|Computer security & privacy
Alex Mathew,Associate Professor,Bethany College (WV),Computer Science,Computer security & privacy
Fujiko Nito,Professor,Bethany College (WV),Computer Science,
Perry Lund,Adjunct Assistant Professor,Bethany Lutheran College,Computer Science,Computer science education
Sean K. Barker,Associate Professor,Bowdoin College,Computer Science,Distributed systems
David Byrd,Assistant Professor,Bowdoin College,Computer Science,Artificial intelligence|Machine learning
Jeová Farias,Assistant Professor,Bowdoin College,Computer Science,Computer vision|Machine learning|Artificial intelligence
Cibele Matos Freire,Assistant Professor,Bowdoin College,Computer Science,Algorithms & complexity|Databases
Sarah M. Harmon,Associate Professor,Bowdoin College,Computer Science,Artificial intelligence|Human-computer interaction|Natural language processing
Stephen Houser,Adjunct Lecturer,Bowdoin College,Computer Science,
Bobak Kiani,Assistant Professor,Bowdoin College,Computer Science,Quantum computing|Machine learning
Jeffrey Knockel,Assistant Professor,Bowdoin College,Computer Science,Computer security & privacy
Christopher Martin,Visiting Lecturer,Bowdoin College,Computer Science,
Laura I. Toma,Professor,Bowdoin College,Computer Science,Algorithms & complexity
Verne E. Leininger,Associate Professor,Bridgewater College,Computer Science,
Eric McGregor,Associate Professor,Bridgewater College,Computer Science,Artificial intelligence|Computer vision
Fredrik Bryntesson,Professor,Bryn Athyn College,Invalid,
Stella Evans,Assistant Professor,Bryn Athyn College,Invalid,
Thomas Frazier,Lecturer,Bryn Athyn College,Computer Science,Artificial intelligence
Ellen McKee,Adjunct Professor,Bryn Athyn College,Invalid,
Ryan Pine,Assistant Professor,Bryn Athyn College,Invalid,
Elizabeth Hollister Rogers,Professor,Bryn Athyn College,Invalid,
Neil Simonetti,Professor,Bryn Athyn College,Computer Science,Algorithms & complexity
Elizabeth Dinella,Assistant Professor,Bryn Mawr College,Computer Science,Machine learning|Software engineering
Ramesh Garimella,Visiting Professor,Bryn Mawr College,Computer Science,
Aline Normoyle,Assistant Professor,Bryn Mawr College,Computer Science,Computer graphics
Adam Poliak,Assistant Professor,Bryn Mawr College,Computer Science,Natural language processing
Michael Wehar,Visiting Assistant Professor,Bryn Mawr College,Computer Science,Algorithms & complexity|Computer science education
Dianna Xu,Professor,Bryn Mawr College,Computer Science,Computer graphics|Computational bio & bioinformatics|Visualization
Alan Marchiori,Associate Professor,Bucknell University,Computer Science,Embedded & real-time systems|Computer networks|Information retrieval
Lea Wittie,Associate Professor,Bucknell University,Computer Science,Computer science education
Alexander Fuchsberger,Associate Teaching Professor,Bucknell University,Computer Science,Information retrieval
Samuel Gutekunst,Assistant Professor,Bucknell University,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Jessen Havill,Professor,Bucknell University,Computer Science,Algorithms & complexity|Computational bio & bioinformatics
Brian King,Associate Professor,Bucknell University,Computer Science,Data science|Computational bio & bioinformatics
Rajesh Kumar,Assistant Professor,Bucknell University,Computer Science,Computer security & privacy
SingChun Lee,Assistant Professor,Bucknell University,Computer Science,Computer graphics|Computer science education
Darakhshan Mir,Associate Professor,Bucknell University,Computer Science,Computer security & privacy|Artificial intelligence
Chris Mitsch,Visiting Assistant Professor,Bucknell University,Mathematics or Statistics,
Luiz Felipe Perrone,Professor,Bucknell University,Computer Science,Human-computer interaction|Computer science education
Swetha Reddy Ravula,Visiting Assistant Professor,Bucknell University,Computer Science,
Lily Romano,Instructor,Bucknell University,Computer Science,
Anne Ross,Assistant Professor,Bucknell University,Computer Science,
Todd Schmid,Assistant Professor,Bucknell University,Computer Science,Logic & verification|Programming languages
Joshua Stough,Associate Professor,Bucknell University,Computer Science,Computer vision|Machine learning|Computer science education
Edward Talmage,Associate Professor,Bucknell University,Computer Science,Distributed systems|Algorithms & complexity
Amy Csizmar Dalal,Professor,Carleton College,Computer Science,Computer networks|Human-computer interaction
Eric Alexander,Associate Professor,Carleton College,Computer Science,Algorithms & complexity|Data science
Tanya Amert,Assistant Professor,Carleton College,Computer Science,Programming languages|Operating systems
Josh Davis,Senior Lecturer,Carleton College,Mathematics or Statistics,
Chelsey Edge,Assistant Professor,Carleton College,Computer Science,Algorithms & complexity|Artificial intelligence
David Liben-Nowell,Associate Professor,Carleton College,Computer Science,Computational social science|Natural language processing
Anna Meyer,Assistant Professor,Carleton College,Computer Science,Programming languages|Machine learning
David Musicant,Professor,Carleton College,Computer Science,Programming languages|Distributed systems|Databases
Sneha Narayan,Assistant Professor,Carleton College,Computer Science,Human-computer interaction|Algorithms & complexity
Layla Oesper,Associate Professor,Carleton College,Computer Science,Computational bio & bioinformatics|Algorithms & complexity
Jeff Ondich,Professor,Carleton College,Computer Science,Computer security & privacy|Operating systems
Anna Rafferty,Professor,Carleton College,Computer Science,Natural language processing|Algorithms & complexity
Jean Salac,Assistant Professor,Carleton College,Computer Science,Computer science education|Human-computer interaction
Anya Vostinar,Assistant Professor,Carleton College,Computer Science,Artificial intelligence|Computational bio & bioinformatics
Robert Franks,Professor,Central College,Computer Science,Human-computer interaction
Stephen Fyfe,Professor,Central College,Computer Science,Software engineering|Computer science education
Mark Johnson,Professor,Central College,Mathematics or Statistics,
Thomas E. Allen,Associate Professor,Centre College,Computer Science,Human-computer interaction
William Bailey,Assistant Professor,Centre College,Computer Science,Algorithms & complexity|Economics & computation
Michael K. Bradshaw,Professor,Centre College,Computer Science,Games & interactive art|Computer graphics
Dave Toth,Professor,Centre College,Computer Science,High-performance computing|Computational bio & bioinformatics
Abdelrahman Desoky,Associate Professor,Claflin University,Computer Science,Computer security & privacy|Cryptography
Karina Liles,Assistant Professor,Claflin University,Computer Science,Robotics
Ms. Erika L. Rhett,Lecturer,Claflin University,Mathematics or Statistics,
Pawar Shrikant,Assistant Professor,Claflin University,Computer Science,Machine learning|Computer vision|Data science|Computational bio & bioinformatics
Stephen Hughes,Associate Professor,Coe College,Computer Science,Computer science education|Human-computer interaction|Information retrieval
Namrata Saha,Visiting Assistant Professor,Coe College,Computer Science,
Michael Stobb,Associate Professor,Coe College,Computer Science,Data science
Terry Hostetler,Professor,Coe College,Computer Science,
Calvin Van Niewaal,Professor,Coe College,Computer Science,
Stephanie Taylor,Professor,Colby College,Computer Science,Computational bio & bioinformatics
Eric Aaron,Associate Professor,Colby College,Computer Science,Robotics|Artificial intelligence|Computational bio & bioinformatics
Naser Al Madi,Visiting Assistant Professor,Colby College,Computer Science,Software engineering
Max Bender,Assistant Professor,Colby College,Computer Science,
Tahiya Chowdhury,Assistant Professor,Colby College,Computer Science,Human-computer interaction|Artificial intelligence
