name,title,college,openalex_id,openalex_citedby,openalex_hindex,openalex_i10index
April Grow,Lecturer,Albion College,,,,
Christopher Grow,Visiting Instructor,Albion College,,,,
Darren E. Mason,Professor,Albion College,,,,
David A. Reimann,Professor,Albion College,A5045511438,1268,9,8
Mark E. Bollman,Professor,Albion College,A5037066402,25,2,1
Mauricio Marengoni,Associate Professor,Albion College,A5001535161,855,11,11
Tim Clark,Associate Professor,Albion College,,,,
Yuming Zhang,Assistant Professor,Albion College,,,,
Dave Kaul,Assistant Professor,Albright College,,,,
David Kopec,Professor,Albright College,,,,
Don Baldridge,Assistant Professor,Albright College,,,,
Douglas Luman,Assistant Professor,Allegheny College,A5133591354,0,0,0
Gregory Kapfhammer,Associate Professor,Allegheny College,A5084185098,1966,23,51
Janyl Jumadinova,Associate Professor,Allegheny College,A5000881185,137,6,5
Oliver Bonham-Carter,Associate Professor,Allegheny College,A5028954340,293,6,3
Andrew Wu,Assistant Professor,Amherst College,A5104025066,135,6,4
John E. Rager,Professor,Amherst College,A5026126307,23,3,0
Kristy Gardner,Associate Professor,Amherst College,A5033686434,752,13,17
Lee Spector,Professor,Amherst College,A5044142640,6011,41,112
Lillian C. Pentecost,Assistant Professor,Amherst College,A5086251333,865,10,11
Matteo Riondato,Associate Professor,Amherst College,A5021368473,1454,19,31
Myroslav Kryven,Assistant Professor,Amherst College,,,,
Scott F. Kaplan,Professor,Amherst College,A5042688944,749,12,12
Scott P. Alfeld,Associate Professor,Amherst College,A5047473680,491,7,5
Shira B. Wein,Assistant Professor,Amherst College,A5075058724,43,3,1
Sophia Yoo,Assistant Professor,Amherst College,,,,
Andrew P. Sward,Associate Professor,Augustana College,A5010396541,87,2,2
Brooke Randazzo,Assistant Professor,Augustana College,,,,
Forrest J. Stonedahl,Associate Professor,Augustana College,A5066114135,644,10,11
Nidhi Mourya,Visiting Instructor,Augustana College,,,,
Robert Dickerson,Assistant Professor,Augustana College,,,,
Stacey Rodman,Professor,Augustana College,,,,
Zhengyi Li,Assistant Professor,Augustana College,,,,
Aaron Block,Associate Professor,Austin College,,,,
Michael Higgs,Professor,Austin College,,,,
Samuel Kroger,Assistant Professor,Austin College,,,,
Seema Aarella,Assistant Professor,Austin College,A5027629934,49,4,1
Annabel Rothschild,Assistant Professor,Bard College,A5042180713,104,6,3
Bob McGrail,Associate Professor,Bard College,,,,
Emma Benser,Assistant Professor,Bard College,A5125899104,0,0,0
Jordan Ayala,Assistant Professor,Bard College,,,,
Kerri-Ann Norton,Associate Professor,Bard College,,,,
Sven Anderson,Associate Professor,Bard College,A5020357707,150,7,6
Theresa Law,Assistant Professor,Bard College,A5000437898,370,8,8
