name,title,college,google_scholar
Mark E. Bollman,Professor,Albion College,https://scholar.google.com/citations?user=mNGSj3cAAAAJ&hl=en
Tim Clark,Associate Professor,Albion College,https://scholar.google.com/citations?user=xdEJxXMAAAAJ&hl=en
April Grow,Lecturer,Albion College,https://scholar.google.com/citations?hl=en&user=kyenQWsAAAAJ
Christopher Grow,Visiting Instructor,Albion College,https://scholar.google.com/citations?user=Cf-ZlZAAAAAJ&hl=en
Mauricio Marengoni,Associate Professor,Albion College,https://scholar.google.com/citations?user=bP8LIv0AAAAJ&hl=en
Darren E. Mason,Professor,Albion College,https://scholar.google.com/citations?user=FL8caiQAAAAJ&hl=en
David A. Reimann,Professor,Albion College,https://scholar.google.com/citations?user=XYboNJYAAAAJ&hl=en
Yuming Zhang,Assistant Professor,Albion College,https://scholar.google.com/citations?user=kLq671IAAAAJ&hl=en
Don Baldridge,Assistant Professor,Albright College,https://scholar.google.com/citations?hl=en&user=H6N7EI8AAAAJ
Dave Kaul,Assistant Professor,Albright College,https://scholar.google.com/citations?user=1TK3gisAAAAJ&hl=en
David Kopec,Professor,Albright College,https://scholar.google.com/citations?user=3-RU6LEAAAAJ&hl=en
Oliver Bonham-Carter,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=Ngz7oxoAAAAJ&hl=en
Janyl Jumadinova,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=LUu7Xg8AAAAJ&hl=en
Gregory Kapfhammer,Associate Professor,Allegheny College,https://scholar.google.com/citations?user=g0eDPjYAAAAJ&hl=en
Douglas Luman,Assistant Professor,Allegheny College,https://scholar.google.com/citations?hl=en&user=niU2BBsAAAAJ
Scott P. Alfeld,Associate Professor,Amherst College,https://scholar.google.com/citations?user=RuEG7UAAAAAJ&hl=en
Kristy Gardner,Associate Professor,Amherst College,https://scholar.google.com/citations?user=mOGiwO8AAAAJ&hl=en
Scott F. Kaplan,Professor,Amherst College,https://scholar.google.com/citations?hl=en&user=p4wtnusAAAAJ
Myroslav Kryven,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=qPArpswAAAAJ&hl=de
Lillian C. Pentecost,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=tgaj15QAAAAJ&hl=en
John E. Rager,Professor,Amherst College,https://scholar.google.com/citations?user=mOGiwO8AAAAJ&hl=en
Matteo Riondato,Associate Professor,Amherst College,https://scholar.google.com/citations?user=5okzSN0AAAAJ&hl=en
Lee Spector,Professor,Amherst College,https://scholar.google.com/citations?user=wtKLtLUAAAAJ&hl=en
Shira B. Wein,Assistant Professor,Amherst College,https://scholar.google.com/citations?user=z3GD9pEAAAAJ&hl=en
Andrew Wu,Assistant Professor,Amherst College,https://scholar.google.com/citations?hl=en&user=1RElnvEAAAAJ
Robert Dickerson,Assistant Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=kCUqY723xj8C
Zhengyi Li,Assistant Professor,Augustana College,https://scholar.google.com/citations?user=txKiQOEAAAAJ&hl=en
Bob Manasco,Instructor,Augustana College,https://scholar.google.com/citations?user=GBoFskAAAAAJ&hl=en
Nidhi Mourya,Visiting Instructor,Augustana College,https://scholar.google.com/citations?user=RrerBvkAAAAJ&hl=en
Diane C. Mueller,Adjunct Assistant Professor,Augustana College,https://scholar.google.com/citations?user=L_iQLxoAAAAJ&hl=en
Brooke Randazzo,Assistant Professor,Augustana College,https://scholar.google.com/citations?user=GBoFskAAAAAJ&hl=en
Stacey Rodman,Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=tkDqciQAAAAJ
Forrest J. Stonedahl,Associate Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=yMh5IloAAAAJ
Andrew P. Sward,Associate Professor,Augustana College,https://scholar.google.com/citations?hl=en&user=i9Zp4AEAAAAJ
Seema Aarella,Assistant Professor,Austin College,https://scholar.google.com/citations?user=ti5Tn38AAAAJ&hl=en
Aaron Block,Associate Professor,Austin College,https://scholar.google.com/citations?user=df8z7MQAAAAJ&hl=en
Michael Higgs,Professor,Austin College,https://scholar.google.com/citations?user=oAPdbtAAAAAJ&hl=en
Samuel Kroger,Assistant Professor,Austin College,https://scholar.google.com/citations?user=Jbo28DsAAAAJ&hl=en
Kerri-Ann Norton,Associate Professor,Bard College,https://scholar.google.com/citations?user=EmEnDFwAAAAJ&hl=en
Sven Anderson,Associate Professor,Bard College,https://scholar.google.com/citations?user=HdltOqUAAAAJ&hl=en
Jordan Ayala,Assistant Professor,Bard College,https://scholar.google.com/citations?hl=en&user=RCvrBmIAAAAJ
Valerie Barr,Professor,Bard College,https://scholar.google.com/citations?user=PXnp3pMAAAAJ&hl=en
Emma Benser,Assistant Professor,Bard College,https://scholar.google.com/citations?user=MuMljE0AAAAJ&hl=en
Theresa Law,Assistant Professor,Bard College,https://scholar.google.com/citations?hl=en&user=fnaBpUoAAAAJ
Bob McGrail,Associate Professor,Bard College,https://scholar.google.com/citations?user=LvCltocAAAAJ&hl=en
Annabel Rothschild,Assistant Professor,Bard College,https://scholar.google.com/citations?user=P2jdT5wAAAAJ&hl=en
Rebecca Wright,Professor,Barnard College,https://scholar.google.com/citations?user=L-xeJPoAAAAJ&hl=en
Smaranda Muresan,Associate Professor,Barnard College,https://scholar.google.com/citations?hl=en&user=Esbx2VcAAAAJ
Ahmer Arif,Assistant Professor,Barnard College,https://scholar.google.com/citations?hl=en&user=AYah22UAAAAJ
Eysa Lee,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=NIgkvEUAAAAJ&hl=en
Mark Santolucito,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=cGC93mIAAAAJ&hl=en
Lucy Simko,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=pYzTlI0AAAAJ&hl=en
Corey Toler-Franklin,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=N8Gc_9gAAAAJ&hl=en
Tiffany Tseng,Assistant Professor,Barnard College,https://scholar.google.com/citations?user=n2VLT40AAAAJ&hl=en
Eyad Haj Said,Associate Professor,Beloit College,https://scholar.google.com/citations?user=iR3Y2ycAAAAJ&hl=en
Katherine Harris,Assistant Professor,Beloit College,https://scholar.google.com/citations?hl=en&user=m5lusK8AAAAJ
Sohaib Kiani,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=fD2AEhsAAAAJ&hl=en
Tom Stojsavljevic,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=HOc2ni4AAAAJ&hl=en
Ben Stucky,Assistant Professor,Beloit College,https://scholar.google.com/citations?user=P8cGOVoAAAAJ&hl=en
Jan Pearce,Professor,Berea College,https://scholar.google.com/citations?user=k6qAQ8MAAAAJ&hl=en
Jacqueline Boggs,Assistant Professor,Berea College,https://scholar.google.com/citations?hl=en&user=wE21ZdIAAAAJ
Scott Heggen,Associate Professor,Berea College,https://scholar.google.com/citations?user=sHcSUfcAAAAJ&hl=en
Jasmine Jones,Associate Professor,Berea College,https://scholar.google.com/citations?user=jY_5OMkAAAAJ&hl=en
Mario Nakazawa,Associate Professor,Berea College,https://scholar.google.com/citations?user=jY_5OMkAAAAJ&hl=en
