name,title,college,verified_affiliation,scholar_match_status,scholar_citedby,scholar_citedby5y,scholar_hindex,scholar_hindex5y,scholar_i10index,scholar_i10index5y,scholar_interests,scholar_cites_per_year
Mark E. Bollman,Professor,Albion College,"Professor of Mathematics,Albion College",matched,51.0,26.0,4.0,4.0,2.0,0.0,Applied probability; number theory,"{'2011': 1, '2012': 2, '2013': 3, '2014': 1, '2015': 4, '2016': 1, '2017': 1, '2018': 2, '2019': 6, '2020': 5, '2021': 4, '2022': 7, '2023': 8, '2024': 2}"
Tim Clark,Associate Professor,Albion College,Catawba College,matched_name,,,,,,,Environmental Sociology; Social Theory; Degrowth; Political Economy,
April Grow,Lecturer,Albion College,,no_match,,,,,,,,
Christopher Grow,Visiting Instructor,Albion College,"Professor, Women's, Gender & Sexuality Studies,Albion College",matched_college,,,,,,,sexuality; history; food,
Mauricio Marengoni,Associate Professor,Albion College,,no_match,,,,,,,,
Darren E. Mason,Professor,Albion College,Albion College,matched,1844.0,665.0,15.0,7.0,17.0,7.0,Applied mathematics; continuum mechanics; plasticity; stochastic calculus; financial mathematics,"{'1997': 6, '1998': 4, '1999': 6, '2000': 18, '2001': 12, '2002': 23, '2003': 17, '2004': 13, '2005': 25, '2006': 20, '2007': 20, '2008': 33, '2009': 39, '2010': 39, '2011': 55, '2012': 45, '2013': 61, '2014': 87, '2015': 107, '2016': 119, '2017': 87, '2018': 91, '2019': 105, '2020': 120, '2021': 103, '2022': 131, '2023': 121, '2024': 123, '2025': 134, '2026': 53}"
David A. Reimann,Professor,Albion College,Albion College,matched,1898.0,326.0,12.0,4.0,13.0,2.0,Mathematical Art,"{'1989': 10, '1990': 2, '1991': 4, '1992': 13, '1993': 9, '1994': 8, '1995': 18, '1996': 15, '1997': 19, '1998': 26, '1999': 31, '2000': 35, '2001': 57, '2002': 40, '2003': 69, '2004': 58, '2005': 71, '2006': 78, '2007': 75, '2008': 63, '2009': 73, '2010': 62, '2011': 80, '2012': 66, '2013': 86, '2014': 85, '2015': 78, '2016': 56, '2017': 63, '2018': 66, '2019': 74, '2020': 73, '2021': 79, '2022': 61, '2023': 59, '2024': 60, '2025': 52, '2026': 15}"
Yuming Zhang,Assistant Professor,Albion College,University of Kentucky,matched_name,,,,,,,weld; sensor; modeling; control; robot,
Don Baldridge,Assistant Professor,Albright College,,no_match,,,,,,,,
Dave Kaul,Assistant Professor,Albright College,,no_match,,,,,,,,
David Kopec,Professor,Albright College,"Associate Professor, Albright College",matched,65.0,51.0,3.0,3.0,2.0,1.0,computer science,"{'2014': 3, '2015': 1, '2016': 1, '2017': 2, '2018': 5, '2019': 7, '2020': 10, '2021': 13, '2022': 10, '2023': 11}"
Oliver Bonham-Carter,Associate Professor,Allegheny College,Allegheny College,matched,402.0,96.0,7.0,4.0,4.0,3.0,data analytics; data mining; bioinformatics: post translational modifications,"{'2002': 2, '2003': 5, '2004': 7, '2005': 3, '2006': 6, '2007': 8, '2008': 10, '2009': 6, '2010': 7, '2011': 6, '2012': 4, '2013': 17, '2014': 19, '2015': 25, '2016': 47, '2017': 36, '2018': 32, '2019': 27, '2020': 37, '2021': 17, '2022': 18, '2023': 13, '2024': 23, '2025': 21, '2026': 4}"
