college,openalex_work_id,title,url,year,cited_by_count,venue,venue_url,venue_type,work_type,topics,subfields,matched_faculty,authors,student_coauthors,faculty_coauthors,other_lac_coauthors,external_coauthors,venue_acronym,venue_area,venue_in_csranking,venue_core_ranking,venue_sjr_quartile,venue_issn
Albion College,W2148136085,Art and Symmetry of Scottish Carved Stone Balls,http://archive.bridgesmathart.org/2014/bridges2014-441.pdf,2014.0,1,,,,article,Image Processing and 3D Reconstruction; Cultural Heritage Materials Analysis; Architecture and Art History Studies,Computer Vision and Pattern Recognition; Archeology; Visual Arts and Performing Arts,David A. Reimann,"[{""name"": ""David A. Reimann"", ""id"": ""A5045511438"", ""affiliations"": [""Albion College""]}]",,,,,,,,,,
Albion College,W4380028810,Basic Gambling Mathematics,https://doi.org/10.1201/9781003358183,2023.0,1,,,,book,"Mathematics, Computing, and Information Processing; Computational Physics and Python Applications; Artificial Intelligence in Games",Computational Theory and Mathematics; Artificial Intelligence,Mark E. Bollman,"[{""name"": ""Mark Bollman"", ""id"": ""A5037066402"", ""affiliations"": [""Albion College""]}]",,,,,,,,,,
Albion College,W2289248846,Decorating Regular Tiles with Arcs,http://archive.bridgesmathart.org/2011/bridges2011-581.pdf,2011.0,0,"Proceedings of Bridges 2011: Mathematics, Music, Art, Architecture, Culture",https://openalex.org/S4306523412,journal,article,Advanced Combinatorial Mathematics; Cellular Automata and Applications; Quasicrystal Structures and Properties,Discrete Mathematics and Combinatorics; Computational Theory and Mathematics; Materials Chemistry,David A. Reimann,"[{""name"": ""David A. Reimann"", ""id"": ""A5045511438"", ""affiliations"": [""Albion College""]}]",,,,,,,,,,
Albion College,W2344025091,Bjarne Jespersen: The Magic Woodcarver,https://doi.org/10.4169/math.mag.89.1.55,2016.0,0,Mathematics Magazine,https://openalex.org/S81587429,journal,article,Cultural Insights and Digital Impacts,Computer Networks and Communications,David A. Reimann,"[{""name"": ""Amy L. Reimann"", ""id"": ""A5015631864"", ""affiliations"": [""Ella Sharp Museum""]}, {""name"": ""David A. Reimann"", ""id"": ""A5045511438"", ""affiliations"": [""Albion College""]}]",,,,Amy L. Reimann,,,,,Q4,"0025570X, 19300980"
Albion College,W2798118959,Chris K. Palmer: Origami in Action,https://doi.org/10.4169/math.mag.90.5.380,2017.0,0,Mathematics Magazine,https://openalex.org/S81587429,journal,article,Advanced Materials and Mechanics; Modular Robots and Swarm Intelligence; Interactive and Immersive Displays,Mechanical Engineering; Human-Computer Interaction,David A. Reimann,"[{""name"": ""Amy L. Reimann"", ""id"": ""A5015631864"", ""affiliations"": [""Albion College""]}, {""name"": ""David A. Reimann"", ""id"": ""A5045511438"", ""affiliations"": [""Albion College""]}]",,Amy L. Reimann,,,,,,,Q4,"0025570X, 19300980"
Albion College,W4313008986,Comparing the Gambini's Algorithm and a CFAR Method to Edge Detection for Polsar Images,https://doi.org/10.1109/igarss46834.2022.9883835,2022.0,0,IGARSS 2022 - 2022 IEEE International Geoscience and Remote Sensing Symposium,https://openalex.org/S4363604196,conference,article,Image and Signal Denoising Methods; Statistical and numerical algorithms; Medical Image Segmentation Techniques,Computer Vision and Pattern Recognition; Applied Mathematics,Mauricio Marengoni,"[{""name"": ""Anderson A. De Borba"", ""id"": ""A5060802958"", ""affiliations"": [""Instituto Brasileiro de Mercado de Capitais""]}, {""name"": ""Maur\u00edcio Marengoni"", ""id"": ""A5001535161"", ""affiliations"": [""Albion College""]}, {""name"": ""Alejandro C. Frery"", ""id"": ""A5055912992"", ""affiliations"": [""Victoria University of Wellington""]}]",,,,Anderson A. De Borba; Alejandro C. Frery,IGARSS,,,C,,
Allegheny College,W2126752493,TimeAware test suite prioritization,https://doi.org/10.1145/1146238.1146240,2006.0,343,Proceedings of the 2006 international symposium on Software testing and analysis,,,article,Software Testing and Debugging Techniques; Software System Performance and Reliability; Software Reliability and Analysis Research,Software; Computer Networks and Communications,Gregory Kapfhammer,"[{""name"": ""Kristen R. Walcott"", ""id"": ""A5076321477"", ""affiliations"": [""University of Virginia""]}, {""name"": ""Mary Lou Soffa"", ""id"": ""A5047746948"", ""affiliations"": [""University of Virginia""]}, {""name"": ""Gregory M. Kapfhammer"", ""id"": ""A5084185098"", ""affiliations"": [""Allegheny College""]}, {""name"": ""Robert S. Roos"", ""id"": ""A5059059988"", ""affiliations"": [""Allegheny College""]}]",Robert S. Roos,,,Kristen R. Walcott; Mary Lou Soffa,ISSTA,SE,1,A,,
Allegheny College,W2028990673,MAJOR: An efficient and extensible tool for mutation analysis in a Java compiler,https://doi.org/10.1109/ase.2011.6100138,2011.0,124,2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011),,,article,Software Testing and Debugging Techniques; Software Engineering Research; Software Reliability and Analysis Research,Software; Information Systems,Gregory Kapfhammer,"[{""name"": ""Ren\u00e9 Just"", ""id"": ""A5088079823"", ""affiliations"": [""Universit\u00e4t Ulm""]}, {""name"": ""Franz Schweiggert"", ""id"": ""A5087969414"", ""affiliations"": [""Universit\u00e4t Ulm""]}, {""name"": ""Gregory M. Kapfhammer"", ""id"": ""A5084185098"", ""affiliations"": [""Allegheny College""]}]",,,,René Just; Franz Schweiggert,ASE,SE,1,A*,,
Allegheny College,W3210114756,A Survey of Flaky Tests,https://doi.org/10.1145/3476105,2021.0,124,ACM Transactions on Software Engineering and Methodology,https://openalex.org/S142627899,journal,article,Software Testing and Debugging Techniques; Software Engineering Research; Software Reliability and Analysis Research,Software; Information Systems,Gregory Kapfhammer,"[{""name"": ""Owain Parry"", ""id"": ""A5038581120"", ""affiliations"": [""University of Sheffield""]}, {""name"": ""Gregory M. Kapfhammer"", ""id"": ""A5084185098"", ""affiliations"": [""Allegheny College""]}, {""name"": ""Michael Hilton"", ""id"": ""A5088362471"", ""affiliations"": [""Carnegie Mellon University""]}, {""name"": ""Phil McMinn"", ""id"": ""A5078598020"", ""affiliations"": [""University of Sheffield""]}]",,,,Owain Parry; Michael Hilton; Phil McMinn,,,,,Q1,"15577392, 1049331X"
Allegheny College,W2104147236,An empirical study of incorporating cost into test suite reduction and prioritization,https://doi.org/10.1145/1529282.1529382,2009.0,70,Proceedings of the 2009 ACM symposium on Applied Computing,,,article,Software Testing and Debugging Techniques; Software Reliability and Analysis Research; Software Engineering Research,Software; Information Systems,Gregory Kapfhammer,"[{""name"": ""Adam M. Smith"", ""id"": ""A5055813085"", ""affiliations"": [""University of Pittsburgh""]}, {""name"": ""Gregory M. Kapfhammer"", ""id"": ""A5084185098"", ""affiliations"": [""Allegheny College""]}]",,,,Adam M. Smith,SAC (ACM Symposium on Applied Computing),,,,,
