acronym,title,rank,url
AAAI,National Conference of the American Association for Artificial Intelligence,A*,https://portal.core.edu.au/conf-ranks/1629/
ACL,Association for Computational Linguistics,A*,https://portal.core.edu.au/conf-ranks/196/
ACMMM,ACM Multimedia,A*,https://portal.core.edu.au/conf-ranks/37/
ASE,Automated Software Engineering Conference,A*,https://portal.core.edu.au/conf-ranks/279/
ASPLOS,Architectural Support for Programming Languages and Operating Systems,A*,https://portal.core.edu.au/conf-ranks/147/
CAV,Computer Aided Verification,A*,https://portal.core.edu.au/conf-ranks/331/
CCS,ACM Conference on Computer and Communications Security,A*,https://portal.core.edu.au/conf-ranks/12/
CHI,International Conference on Human Factors in Computing Systems,A*,https://portal.core.edu.au/conf-ranks/1053/
COLT,Conference on Learning Theory,A*,https://portal.core.edu.au/conf-ranks/124/
CRYPTO,Advances in Cryptology,A*,https://portal.core.edu.au/conf-ranks/94/
CVPR,IEEE Conference on Computer Vision and Pattern Recognition,A*,https://portal.core.edu.au/conf-ranks/604/
DAC,Design Automation Conf,A*,https://portal.core.edu.au/conf-ranks/1996/
EC,ACM Conference on Economics and Computation,A*,https://portal.core.edu.au/conf-ranks/14/
ECCV,European Conference on Computer Vision,A*,https://portal.core.edu.au/conf-ranks/479/
EMNLP,Empirical Methods in Natural Language Processing,A*,https://portal.core.edu.au/conf-ranks/448/
EuroCrypt,International Conference on the Theory and Application of Cryptographic Techniques,A*,https://portal.core.edu.au/conf-ranks/1242/
FOCS,IEEE Symposium on Foundations of Computer Science,A*,https://portal.core.edu.au/conf-ranks/745/
FSE,ACM International Conference on the Foundations of Software Engineering,A*,https://portal.core.edu.au/conf-ranks/52/
HPCA,International Symposium on High Performance Computer Architecture,A*,https://portal.core.edu.au/conf-ranks/1386/
HRI,ACM/IEEE International Conference on Human-Robot Interaction,A*,https://portal.core.edu.au/conf-ranks/2310/
ICALP,International Colloquium on Automata Languages and Programming,A*,https://portal.core.edu.au/conf-ranks/864/
ICAPS,International Conference on Automated Planning and Scheduling,A*,https://portal.core.edu.au/conf-ranks/919/
ICCV,IEEE International Conference on Computer Vision,A*,https://portal.core.edu.au/conf-ranks/638/
ICDE,International Conference on Data Engineering,A*,https://portal.core.edu.au/conf-ranks/986/
ICDM,IEEE International Conference on Data Mining,A*,https://portal.core.edu.au/conf-ranks/642/
ICLR,International Conference on Learning Representations,A*,https://portal.core.edu.au/conf-ranks/2273/
ICML,International Conference on Machine Learning,A*,https://portal.core.edu.au/conf-ranks/1121/
ICRA,IEEE International Conference on Robotics and Automation,A*,https://portal.core.edu.au/conf-ranks/2051/
ICSE,International Conference on Software Engineering,A*,https://portal.core.edu.au/conf-ranks/1209/
IJCAI,International Joint Conference on Artificial Intelligence,A*,https://portal.core.edu.au/conf-ranks/1313/
INFOCOM,IEEE International Conference on Computer Communications,A*,https://portal.core.edu.au/conf-ranks/2074/
ISCA,ACM International Symposium on Computer Architecture,A*,https://portal.core.edu.au/conf-ranks/32/
ISMAR,IEEE/ACM International Symposium on Mixed and Augmented Reality,A*,https://portal.core.edu.au/conf-ranks/785/
KDD,ACM International Conference on Knowledge Discovery and Data Mining,A*,https://portal.core.edu.au/conf-ranks/26/
KR,International Conference on the Principles of Knowledge Representation and Reasoning,A*,https://portal.core.edu.au/conf-ranks/1239/
LICS,IEEE Symposium on Logic in Computer Science,A*,https://portal.core.edu.au/conf-ranks/748/
MICRO,International Symposium on Microarchitecture,A*,https://portal.core.edu.au/conf-ranks/2098/
MOBICOM,ACM International Conference on Mobile Computing and Networking,A*,https://portal.core.edu.au/conf-ranks/27/
NDSS,Usenix Network and Distributed System Security Symposium,A*,https://portal.core.edu.au/conf-ranks/1840/
NeurIPS,Advances in Neural Information Processing Systems,A*,https://portal.core.edu.au/conf-ranks/98/
OSDI,Usenix Symposium on Operating Systems Design and Implementation,A*,https://portal.core.edu.au/conf-ranks/1842/
PERCOM,IEEE International Conference on Pervasive Computing and Communications,A*,https://portal.core.edu.au/conf-ranks/669/
PLDI,ACM-SIGPLAN Conference on Programming Language Design and Implementation,A*,https://portal.core.edu.au/conf-ranks/84/
PODC,ACM Symposium on Principles of Distributed Computing,A*,https://portal.core.edu.au/conf-ranks/63/
PODS,ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,A*,https://portal.core.edu.au/conf-ranks/46/
POPL,ACM-SIGACT Symposium on Principles of Programming Languages,A*,https://portal.core.edu.au/conf-ranks/82/
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A*,https://portal.core.edu.au/conf-ranks/11/
SIGGRAPH,ACM SIG International Conference on Computer Graphics and Interactive Techniques,A*,https://portal.core.edu.au/conf-ranks/38/
SiggraphA,SIGGRAPH Asia,A*,https://portal.core.edu.au/conf-ranks/957/
