Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;21100831443;"Nature Biomedical Engineering";journal;"2157846X";"Nature Research";No;No;8,997;Q1;166;264;446;15866;9543;344;18,72;60,10;36,53;1;United Kingdom;Western Europe;"Nature Research";"2017-2026";"Bioengineering (Q1); Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Medicine"
2;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;7,947;Q1;97;75;187;5367;7577;181;50,77;71,56;50,20;1;Netherlands;Western Europe;"Springer Netherlands";"2016-2026";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
3;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;7,083;Q1;86;181;285;14039;11800;284;38,49;77,56;41,28;10;Netherlands;Western Europe;"Elsevier B.V.";"2020-2026";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
4;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;6,902;Q1;118;196;503;11080;11696;371;22,28;56,53;28,24;8;Switzerland;Western Europe;"Springer International Publishing";"2019-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
5;18902;"IEEE Journal on Selected Areas in Communications";journal;"15580008, 07338716";"Institute of Electrical and Electronics Engineers Inc.";No;No;6,496;Q1;287;295;750;13653;14663;731;18,03;46,28;25,06;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1983-2026";"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
6;24212;"Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition";conference and proceedings;"10636919";"IEEE Computer Society";No;No;6,466;-;666;1554;7138;93876;205395;7133;24,22;60,41;26,08;0;United States;Northern America;"IEEE Computer Society";"1992, 1994, 1996-2001, 2003-2004, 2006-2007, 2010-2025";"Computer Vision and Pattern Recognition; Software";"Computer Science"
7;110561;"Proceedings of the IEEE International Conference on Computer Vision";conference and proceedings;"15505499, 23807504";"Institute of Electrical and Electronics Engineers Inc.";No;No;6,187;-;435;0;2157;0;45837;2156;21,25;0,00;0,00;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988, 1995, 1998-1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015-2017, 2019, 2021, 2023";"Computer Vision and Pattern Recognition; Software";"Computer Science"
8;23038;"ACM Computing Surveys";journal;"03600300, 15577341";"Association for Computing Machinery";No;No;5,985;Q1;260;383;1003;67270;39294;1002;34,93;175,64;25,32;10;United States;Northern America;"Association for Computing Machinery";"1969-2025";"Computer Science (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
9;19300156903;"Foundations and Trends in Machine Learning";journal;"19358245, 19358237";"Now Publishers Inc";No;No;5,923;Q1;45;4;14;1155;425;14;38,40;288,75;16,00;0;United States;Northern America;"Now Publishers Inc";"2008-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
10;15631;"International Journal of Information Management";journal;"02684012";"Elsevier Ltd";No;No;5,899;Q1;215;77;260;7712;9179;241;33,66;100,16;35,11;2;United Kingdom;Western Europe;"Elsevier Ltd";"1970, 1986-2026";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
11;21100886132;"Science Robotics";journal;"24709476";"American Association for the Advancement of Science";No;No;5,883;Q1;143;130;318;6018;6541;294;15,72;46,29;23,04;1;United States;Northern America;"American Association for the Advancement of Science";"2016-2026";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Optimization (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Mathematics"
12;15574;"Information Systems Research";journal;"15265536, 10477047";"INFORMS Inst.for Operations Res.and the Management Sciences";No;No;5,679;Q1;203;115;264;9350;2945;259;11,02;81,30;26,10;2;United States;Northern America;"INFORMS Inst.for Operations Res.and the Management Sciences";"1990-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
13;24972;"ACM Transactions on Graphics";journal;"15577368, 07300301";"Association for Computing Machinery";No;No;5,633;Q1;279;278;842;17544;12739;842;14,14;63,11;22,13;0;United States;Northern America;"Association for Computing Machinery";"1982-2025";"Computer Graphics and Computer-Aided Design (Q1)";"Computer Science"
